x1,x2,label
0.830586,-0.447733,1.000000
0.701678,0.816918,0.000000
1.022080,-0.492571,1.000000
-0.316765,0.953438,0.000000
0.293226,1.057185,0.000000
1.254903,-0.483435,1.000000
1.053851,-0.442690,1.000000
0.031380,1.053012,0.000000
0.620545,0.713096,0.000000
1.787657,-0.142959,1.000000
0.999075,0.091806,0.000000
-0.707230,0.574999,0.000000
1.464796,-0.471119,1.000000
0.427122,0.831032,0.000000
1.053419,-0.501029,1.000000
1.195977,-0.494724,1.000000
1.994223,0.424260,1.000000
0.931755,0.394262,0.000000
0.411043,-0.333482,1.000000
1.490733,-0.385601,1.000000
1.975172,0.359306,1.000000
2.047094,0.410686,1.000000
-0.005921,0.148622,1.000000
0.825921,-0.429990,1.000000
0.543094,0.751448,0.000000
1.870955,0.201417,1.000000
1.922432,0.432632,1.000000
-0.867651,0.455056,0.000000
0.282160,1.057602,0.000000
0.468303,-0.372979,1.000000
1.964599,0.161565,1.000000
0.461097,-0.370860,1.000000
1.826182,-0.157297,1.000000
-0.569934,0.822685,0.000000
0.986761,0.084405,0.000000
0.474728,-0.433865,1.000000
1.342582,-0.402801,1.000000
0.687733,0.784635,0.000000
-0.891201,0.506444,0.000000
0.709695,0.755076,0.000000
1.185898,-0.540545,1.000000
0.270070,0.904482,0.000000
1.933473,0.365879,1.000000
-0.727540,0.628757,0.000000
0.885859,0.329831,0.000000
0.643572,0.849313,0.000000
1.032378,0.026801,0.000000
1.032393,0.195007,0.000000
1.462047,-0.443263,1.000000
0.919377,0.271757,0.000000
0.486781,0.845665,0.000000
-0.758323,0.778144,0.000000
-0.090321,1.010898,0.000000
1.409476,-0.390499,1.000000
-0.784205,0.621399,0.000000
0.723879,0.715852,0.000000
-0.273825,0.966841,0.000000
0.930545,0.213414,0.000000
-0.892470,0.513185,0.000000
0.493146,0.912239,0.000000
1.960166,0.393204,1.000000
-0.054841,0.310615,1.000000
0.370254,-0.298699,1.000000
1.947427,0.219468,1.000000
0.467322,0.873683,0.000000
0.875224,0.504884,0.000000
1.861170,-0.061708,1.000000
0.774671,0.557816,0.000000
-0.920405,0.115969,0.000000
1.223708,-0.479098,1.000000
0.788538,-0.493866,1.000000
0.647485,-0.430750,1.000000
0.022757,0.171389,1.000000
0.141790,0.112055,1.000000
0.352491,-0.238525,1.000000
0.303058,-0.099758,1.000000
-0.006536,0.342643,1.000000
0.607416,0.732229,0.000000
1.807400,-0.073875,1.000000
1.926052,0.071168,1.000000
-0.537571,0.918118,0.000000
0.484991,0.904289,0.000000
1.933561,0.352943,1.000000
-0.494225,0.806235,0.000000
0.432583,-0.254446,1.000000
0.433338,0.946884,0.000000
-0.641693,0.776709,0.000000
1.519158,-0.275743,1.000000
0.303226,-0.227563,1.000000
-0.039707,0.252096,1.000000
1.068755,-0.469899,1.000000
2.037832,0.177276,1.000000
0.833209,-0.416606,1.000000
0.428130,-0.274489,1.000000
1.577835,-0.196204,1.000000
0.678736,-0.508989,1.000000
0.491125,0.781200,0.000000
0.701818,0.756143,0.000000
1.798760,-0.236515,1.000000
1.010156,0.142518,0.000000
-0.950144,-0.011766,0.000000
1.696262,-0.239005,1.000000
0.903121,0.262636,0.000000
